date,return,var99_sv_mean,var99_sv_lo,var99_sv_hi,var99_garch
2024-05-07,0.1342528228825613,-1.8108848218342346,-2.9422222058956797,-1.0554803683406557,-3.0737448081620315
2024-05-08,-0.0005835635193424,-1.6631957697588824,-2.7448291936886853,-0.9202701722245746,-2.822195559436113
2024-05-09,0.5078032639106711,-1.587776353888678,-2.6724705628203265,-0.8817926919531714,-2.59867104450168
2024-05-10,0.1648040080166728,-1.4907889938213834,-2.3965022366745736,-0.8586157358813922,-2.456467431586348
2024-05-13,-0.0241333173865208,-1.4640203933802491,-2.38775542920839,-0.8233225229126814,-2.270917024867807
2024-05-14,0.4826148527454041,-1.4460745203916363,-2.327442275179909,-0.7799687867299626,-2.1088301766792026
2024-05-15,1.164782778729962,-1.4476301986886628,-2.3829069843157886,-0.8195931533660142,-2.0242460896111094
2024-05-16,-0.2083837474088046,-1.4560579646084229,-2.3782333001018943,-0.8614579911438973,-2.3433602194857035
2024-05-17,0.1164095687893751,-1.3948964244799424,-2.316341387174427,-0.7647653985443178,-2.2025102847862073
2024-05-20,0.0915970308491166,-1.3551607749737131,-2.4047273480514484,-0.7159026613094839,-2.043022598892541
2024-05-21,0.2498749766892608,-1.288833560224948,-2.245038936780897,-0.7029504455993513,-1.9012989328840115
2024-05-22,-0.2709791209352147,-1.315834011992902,-2.2684347718410094,-0.7236413416878423,-1.7879119764459843
2024-05-23,-0.7408162283471933,-1.3256534244702776,-2.2149902466486213,-0.737241958625891,-1.7399920137919165
2024-05-24,0.6976649076673259,-1.3553573563844925,-2.2242290397402185,-0.7668115823933643,-1.9556310154815408
2024-05-28,0.0248770906885915,-1.3644576393744994,-2.225015781098209,-0.7969188548724927,-1.9858273059387876
2024-05-29,-0.7394317215742535,-1.3910334714394306,-2.2852216660543196,-0.7965208025038066,-1.85265571276546
2024-05-30,-0.5992957535754186,-1.3904680248615187,-2.27821111734961,-0.8041008102388908,-2.038824197858701
2024-05-31,0.7995824231928896,-1.3759711848083538,-2.2630474568440127,-0.8224739137730401,-2.0974661824565186
2024-06-03,0.1115460223535239,-1.387925633889341,-2.2864304764654007,-0.8328496631025245,-2.1550714535410385
2024-06-04,0.1501681003782753,-1.3715659679206893,-2.217013748949932,-0.7673664011487962,-2.00080805094042
2024-06-05,1.1778015849957282,-1.3487765123379853,-2.1759809427072327,-0.7776146374789543,-1.8655279562828275
2024-06-06,-0.0199836601636851,-1.3750203849347449,-2.2268967359442664,-0.8390778561889812,-2.2416599748900605
2024-06-07,-0.1115842050279066,-1.3026479122477825,-2.2115757554148763,-0.7315656905890152,-2.0824967213949663
2024-06-10,0.2577529978240972,-1.2582950360806726,-2.0864324441830746,-0.7015223355616078,-1.9538889831329072
2024-06-11,0.2706714855209522,-1.2102841857024689,-2.076193280946531,-0.687050922025501,-1.8352141806821525
2024-06-12,0.8467720241887338,-1.200244691339722,-2.0731705682811423,-0.6926298739072841,-1.7334567905004958
